
 PRINT EPTO NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL TOTAL STRAIN LISTING *****                                 
  PowerGraphics Is Currently Enabled                                           
 
  LOAD STEP=     1  SUBSTEP=    20                                             
   TIME=    1.0000      LOAD CASE=   0                                         
  NODAL RESULTS ARE FOR MATERIAL   1                                           
 
  THE FOLLOWING X,Y,Z VALUES ARE IN GLOBAL COORDINATES                         
 
    NODE     EPTOX        EPTOY        EPTOZ        EPTOXY       EPTOYZ       EPTOXZ  
    6382  0.12846E-003-0.55118E-003 0.13821E-003 0.15152E-005  0.0000       0.0000     
    6383  0.12917E-003-0.55372E-003 0.13844E-003 0.14863E-005  0.0000       0.0000     
    6384  0.12987E-003-0.55619E-003 0.13865E-003 0.14571E-005  0.0000       0.0000     
    6385  0.13055E-003-0.55859E-003 0.13887E-003 0.14273E-005  0.0000       0.0000     
    6386  0.13120E-003-0.56093E-003 0.13907E-003 0.13972E-005  0.0000       0.0000     
    6387  0.13183E-003-0.56321E-003 0.13927E-003 0.13667E-005  0.0000       0.0000     
    6388  0.13245E-003-0.56542E-003 0.13946E-003 0.13357E-005  0.0000       0.0000     
    6389  0.13304E-003-0.56757E-003 0.13965E-003 0.13043E-005  0.0000       0.0000     
    6390  0.13361E-003-0.56965E-003 0.13983E-003 0.12726E-005  0.0000       0.0000     
    6391  0.13416E-003-0.57167E-003 0.14001E-003 0.12405E-005  0.0000       0.0000     
    6392  0.13469E-003-0.57363E-003 0.14018E-003 0.12080E-005  0.0000       0.0000     
    6393  0.13521E-003-0.57553E-003 0.14034E-003 0.11752E-005  0.0000       0.0000     
    6394  0.13570E-003-0.57736E-003 0.14050E-003 0.11420E-005  0.0000       0.0000     
    6395  0.13618E-003-0.57914E-003 0.14065E-003 0.11085E-005  0.0000       0.0000     
    6396  0.13664E-003-0.58085E-003 0.14079E-003 0.10747E-005  0.0000       0.0000     
    6397  0.13707E-003-0.58250E-003 0.14094E-003 0.10406E-005  0.0000       0.0000     
    6398  0.13750E-003-0.58409E-003 0.14107E-003 0.10062E-005  0.0000       0.0000     
    6399  0.13790E-003-0.58562E-003 0.14120E-003 0.97147E-006  0.0000       0.0000     
    6400  0.13828E-003-0.58708E-003 0.14132E-003 0.93649E-006  0.0000       0.0000     
    6401  0.13865E-003-0.58849E-003 0.14144E-003 0.90124E-006  0.0000       0.0000     
    6402  0.13900E-003-0.58984E-003 0.14156E-003 0.86574E-006  0.0000       0.0000     
    6403  0.13934E-003-0.59113E-003 0.14167E-003 0.82999E-006  0.0000       0.0000     
    6404  0.13966E-003-0.59235E-003 0.14177E-003 0.79400E-006  0.0000       0.0000     
    6405  0.13996E-003-0.59352E-003 0.14187E-003 0.75778E-006  0.0000       0.0000     
    6406  0.14024E-003-0.59463E-003 0.14196E-003 0.72134E-006  0.0000       0.0000     
    6407  0.14051E-003-0.59568E-003 0.14205E-003 0.68468E-006  0.0000       0.0000     
    6408  0.14076E-003-0.59668E-003 0.14213E-003 0.64783E-006  0.0000       0.0000     
    6409  0.14100E-003-0.59761E-003 0.14221E-003 0.61078E-006  0.0000       0.0000
Минимальное значение: 1.5565E-6
Максимальное значение: 1.428E-4
Среднее значение: 1.1678365285714281E-4
Отклонение от среднего значения:
-8.970765285714282E-5 2.6016347142857188E-5 -9.546565285714281E-5 -1.0207165285714281E-4 -1.0867075285714281E-4 -1.1522715285714281E-4 -3.3968652857142815E-5 -3.317565285714281E-5 -3.238365285714281E-5 -3.1594652857142814E-5 -3.080765285714281E-5 -3.002365285714281E-5 -2.9240652857142815E-5 -2.8460652857142813E-5 -2.7683652857142817E-5 -2.6910652857142816E-5 -2.6140652857142808E-5 -2.537465285714281E-5 -2.461265285714282E-5 -2.3856652857142814E-5 -2.3105652857142807E-5 -2.235965285714281E-5 -2.162165285714282E-5 -2.0889652857142814E-5 -2.016465285714281E-5 -1.944765285714281E-5 -1.8739652857142816E-5 -1.803865285714281E-5 -1.734665285714281E-5 -1.6663652857142817E-5 -1.5993652857142812E-5 -1.532365285714282E-5 -1.466365285714281E-5 -1.4023652857142815E-5 -1.3383652857142808E-5 -1.2753652857142809E-5 -1.2133652857142818E-5 -1.1513652857142814E-5 -1.0913652857142813E-5 -1.0313652857142812E-5 -9.72365285714282E-6 -9.143652857142808E-6 -8.56365285714281E-6 -7.99365285714282E-6 -7.4236528571428175E-6 -6.863652857142809E-6 -6.3136528571428095E-6 -5.76365285714281E-6 -5.21365285714281E-6 -4.6736528571428185E-6 -4.1336528571428135E-6 -3.5936528571428085E-6 -3.063652857142812E-6 -2.5336528571428152E-6 -2.0136528571428134E-6 -1.4836528571428168E-6 -9.63652857142815E-7 -4.436528571428132E-7 6.634714285718021E-8 5.86347142857182E-7 1.096347142857189E-6 1.6063471428571824E-6 2.1163471428571894E-6 2.616347142857188E-6 3.1163471428571866E-6 3.616347142857185E-6 4.116347142857184E-6 4.616347142857182E-6 5.106347142857186E-6 5.59634714285719E-6 6.076347142857185E-6 6.556347142857181E-6 7.036347142857176E-6 7.516347142857199E-6 7.9863471428572E-6 8.446347142857178E-6 8.906347142857184E-6 9.36634714285719E-6 9.816347142857173E-6 1.0266347142857184E-5 1.0706347142857173E-5 1.114634714285719E-5 1.1576347142857184E-5 1.1996347142857183E-5 1.2416347142857182E-5 1.2826347142857187E-5 1.3236347142857191E-5 1.3636347142857174E-5 1.4036347142857184E-5 1.4416347142857177E-5 1.4796347142857197E-5 1.517634714285719E-5 1.5536347142857193E-5 1.5896347142857196E-5 1.6256347142857173E-5 1.6596347142857186E-5 1.6936347142857173E-5 1.7276347142857187E-5 1.7596347142857183E-5 1.791634714285718E-5 1.8226347142857183E-5 1.852634714285719E-5 1.8826347142857197E-5 1.9116347142857182E-5 1.9406347142857195E-5 1.967634714285719E-5 1.9946347142857186E-5 2.0216347142857182E-5 2.0466347142857188E-5 2.0716347142857194E-5 2.0966347142857173E-5 2.119634714285719E-5 2.142634714285718E-5 2.1656347142857195E-5 2.1866347142857195E-5 2.208634714285719E-5 2.2286347142857194E-5 2.24863471428572E-5 2.2676347142857182E-5 2.2866347142857192E-5 2.304634714285718E-5 2.3226347142857196E-5 2.339634714285719E-5 2.3556347142857187E-5 2.3716347142857186E-5 2.386634714285719E-5 2.40063471428572E-5 2.4156347142857175E-5 2.428634714285719E-5 2.4416347142857176E-5 2.4536347142857195E-5 2.4656347142857187E-5 2.477634714285718E-5 2.4886347142857176E-5 2.498634714285718E-5 2.508634714285718E-5 2.517634714285719E-5 2.5266347142857196E-5 2.5346347142857182E-5 2.5426347142857195E-5 
